EER = 0.645716 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.698784 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.457160 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.485918 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.489475 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.503409 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.516158 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.414764 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.450341 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.442633 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.452120 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.455084 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.337385 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.257634 for C = 5.000000e+02, gamma = 3.000000e-09 <- New Best
EER = 0.292618 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.356952 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.404388 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.354580 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.393715 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.381559 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.376519 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.358731 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.290839 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.341832 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.356952 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.361696 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.358435 for C = 5.000000e+02, gamma = 9.000000e-11 
EER = 0.519715 for C = 7.000000e+02, gamma = 1.000000e-06 
EER = 0.556181 for C = 7.000000e+02, gamma = 3.000000e-06 
EER = 0.593240 for C = 7.000000e+02, gamma = 5.000000e-06 
EER = 0.645716 for C = 7.000000e+02, gamma = 7.000000e-06 
EER = 0.698784 for C = 7.000000e+02, gamma = 9.000000e-06 
EER = 0.457160 for C = 7.000000e+02, gamma = 1.000000e-07 
EER = 0.485918 for C = 7.000000e+02, gamma = 3.000000e-07 
EER = 0.489475 for C = 7.000000e+02, gamma = 5.000000e-07 
